team,season,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_lost,def_interceptions_made,def_sacks,turnover_margin,eff_ratio,td_eff,made_playoffs
PIT,2016,397,0,6137,4377,1760,33,14,210,97,15,5,13,38,8,0.065,0.047,1
SEA,2016,346,0,6013,4422,1591,23,13,203,85,12,6,11,42,8,0.058,0.038,0
SF,2016,308,6,5185,3166,2019,21,15,152,116,10,13,10,33,2,0.059,0.038,0
TB,2016,330,12,5781,4165,1616,29,8,220,80,18,11,17,38,5,0.057,0.036,0
TEN,2016,393,36,5907,3720,2187,29,18,175,115,11,9,12,40,-3,0.067,0.049,1
WAS,2016,393,18,6644,4948,1696,25,17,226,89,12,9,13,38,7,0.059,0.043,1
ARI,2017,287,24,5365,3979,1386,21,6,200,66,18,7,15,37,7,0.053,0.027,0
ATL,2017,343,12,5993,4146,1847,21,13,200,101,12,7,8,39,3,0.057,0.036,0
BAL,2017,361,12,5091,3235,1856,20,16,168,111,13,4,22,41,21,0.071,0.035,1
BUF,2017,286,12,5082,3065,2017,16,12,148,105,10,7,18,27,16,0.056,0.029,0
CAR,2017,353,12,5421,3319,2102,22,16,167,121,16,5,10,50,4,0.065,0.039,1
CHI,2017,240,12,4873,3085,1788,13,14,144,93,12,11,8,42,-1,0.049,0.031,0
CIN,2017,279,6,4752,3386,1366,25,7,165,72,12,9,11,41,-5,0.059,0.037,0
CLE,2017,238,24,5251,3537,1714,15,12,157,97,28,11,7,34,-16,0.045,0.029,0
DAL,2017,347,30,5496,3326,2170,22,18,162,127,13,8,10,38,6,0.063,0.042,1
DEN,2017,275,24,5520,3668,1852,19,9,180,92,22,10,10,33,-13,0.05,0.028,0
DET,2017,373,30,5691,4470,1221,29,10,210,58,11,12,19,35,10,0.066,0.042,1
GB,2017,310,12,5256,3532,1724,25,13,176,99,18,6,11,37,-2,0.059,0.041,0
HOU,2017,321,18,5486,3644,1842,28,9,180,86,17,12,11,32,-6,0.059,0.039,0
IND,2017,259,36,4887,3226,1661,13,11,148,94,9,8,13,25,8,0.053,0.026,0
JAX,2017,374,6,5978,3716,2262,21,19,193,101,13,10,21,55,15,0.063,0.038,1
KC,2017,392,6,6197,4326,1871,26,12,198,95,8,5,16,31,14,0.063,0.04,1
