team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
LV,2013,-2,0.057,0.038,319,18,5629,3629,2000,17,19,3,168,90,20,26,13,0,9,27,11,22,0,38,499,437,0.56,0.43,0.57,0.42
MIA,2013,-1,0.056,0.035,305,12,5406,3966,1440,24,8,2,205,61,19,18,8,1,18,12,5,8,1,42,575,349,0.65,0.34,0.56,0.42
MIN,2013,-10,0.068,0.046,389,24,5726,3645,2081,18,26,1,173,106,19,23,14,0,12,17,7,11,0,41,527,423,0.58,0.41,0.6,0.38
NE,2013,7,0.067,0.04,429,18,6408,4343,2065,25,19,3,225,110,11,21,11,0,17,23,10,12,0,48,617,471,0.58,0.4,0.57,0.42
NO,2013,6,0.063,0.048,416,12,6635,5162,1473,39,10,0,244,87,12,13,4,0,12,14,10,10,0,49,639,392,0.64,0.34,0.59,0.4
NYG,2013,-12,0.058,0.035,300,36,5207,3875,1332,18,14,2,176,77,29,26,15,1,17,25,12,15,0,34,538,382,0.61,0.38,0.58,0.4
NYJ,2013,-6,0.052,0.026,282,36,5428,3270,2158,13,12,1,154,105,22,17,7,0,13,16,2,10,1,41,458,493,0.52,0.48,0.6,0.39
PHI,2013,14,0.063,0.053,440,12,6954,4406,2548,32,21,2,197,133,9,21,9,0,19,27,13,13,2,37,499,503,0.53,0.45,0.61,0.37
PIT,2013,1,0.062,0.038,355,12,5689,4306,1383,28,9,3,207,81,14,17,10,0,10,20,10,15,1,34,572,395,0.61,0.38,0.58,0.41
SEA,2013,23,0.07,0.046,396,6,5696,3508,2188,27,15,4,160,116,9,25,11,0,28,25,9,15,2,44,411,509,0.48,0.5,0.57,0.41
SF,2013,8,0.069,0.043,375,6,5411,3210,2201,21,18,4,148,115,8,21,14,1,18,19,8,12,1,38,409,505,0.47,0.51,0.61,0.38
TB,2013,13,0.056,0.03,270,12,4793,3181,1612,22,6,3,157,75,12,20,10,1,21,16,9,14,1,35,502,420,0.57,0.42,0.57,0.41
TEN,2013,3,0.062,0.039,346,12,5604,3710,1894,22,16,5,172,103,16,24,7,3,13,26,14,13,0,36,517,462,0.55,0.44,0.56,0.42
WAS,2013,-5,0.053,0.036,330,12,6221,4057,2164,20,18,5,198,112,19,30,14,1,16,19,11,12,0,36,592,454,0.59,0.41,0.55,0.42
ARI,2014,9,0.053,0.028,281,6,5298,3990,1308,21,6,4,191,67,12,15,5,0,18,14,7,8,0,35,556,400,0.6,0.39,0.61,0.38
ATL,2014,2,0.059,0.039,368,30,6256,4758,1498,28,11,2,233,75,15,17,10,1,16,17,9,11,0,22,617,373,0.64,0.36,0.56,0.42
BAL,2014,6,0.066,0.044,395,0,6005,3986,2019,27,17,1,194,113,12,18,7,0,11,21,12,14,1,49,542,451,0.55,0.42,0.62,0.37
BUF,2014,12,0.061,0.032,325,12,5338,3856,1482,23,8,1,186,65,13,19,10,2,19,23,11,16,1,54,566,403,0.6,0.38,0.6,0.39
CAR,2014,17,0.058,0.036,340,6,5856,3828,2028,23,13,3,199,117,12,20,9,0,14,32,14,24,0,40,533,473,0.55,0.44,0.6,0.38
CHI,2014,-1,0.059,0.042,321,12,5476,4035,1441,30,10,1,194,91,19,26,12,0,14,18,8,16,0,39,590,356,0.65,0.34,0.58,0.4
CIN,2014,-2,0.064,0.041,362,18,5698,3551,2147,20,20,1,164,122,17,21,10,0,20,13,5,5,3,20,486,492,0.52,0.47,0.59,0.41
CLE,2014,14,0.052,0.03,280,6,5406,3678,1728,12,17,3,179,88,16,16,6,0,21,23,9,15,1,31,486,478,0.53,0.47,0.55,0.44
DAL,2014,10,0.072,0.055,457,12,6362,4008,2354,37,17,3,205,106,11,19,13,1,18,22,14,16,0,28,465,508,0.5,0.49,0.6,0.39
DEN,2014,14,0.072,0.054,470,12,6564,4779,1785,40,16,3,227,98,15,16,6,0,18,21,6,17,1,41,592,443,0.58,0.39,0.66,0.33
DET,2014,15,0.055,0.034,313,0,5706,4284,1422,22,12,2,210,72,12,18,6,1,20,21,9,13,1,42,592,397,0.62,0.36,0.64,0.35
GB,2014,17,0.071,0.055,455,6,6364,4447,1917,38,15,4,222,104,6,20,8,3,18,19,8,13,1,41,530,435,0.57,0.41,0.57,0.42
HOU,2014,11,0.06,0.033,336,12,5621,3460,2161,22,12,5,171,108,13,20,11,1,20,22,12,15,1,38,472,551,0.48,0.5,0.61,0.38
IND,2014,1,0.068,0.048,451,30,6674,5062,1612,42,9,2,251,80,16,32,15,1,12,28,14,20,0,41,645,416,0.62,0.36,0.58,0.41
JAX,2014,-1,0.047,0.028,240,30,5084,3451,1633,15,10,3,154,86,18,14,8,2,6,23,14,19,1,45,539,360,0.64,0.36,0.54,0.44
KC,2014,0,0.064,0.042,341,0,5346,3428,1918,18,20,1,184,92,6,23,12,1,6,16,7,12,0,46,487,420,0.56,0.43,0.58,0.41
LA,2014,2,0.058,0.036,308,48,5330,3695,1635,20,12,3,189,79,16,25,12,0,13,28,11,17,0,40,499,395,0.59,0.4,0.58,0.41
