team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
CIN,2022,13,0.068,0.049,414,12,6048,4520,1528,35,14,1,221,96,12,10,5,0,13,22,12,17,0,30,598,400,0.62,0.36,0.58,0.4
CLE,2022,0,0.054,0.036,337,0,6200,3710,2490,19,19,3,182,142,12,16,9,1,11,25,9,10,0,34,528,533,0.52,0.46,0.53,0.45
DAL,2022,14,0.073,0.049,452,18,6209,3911,2298,28,24,3,194,129,18,13,4,0,16,28,18,20,0,54,538,532,0.52,0.46,0.55,0.44
DEN,2022,8,0.048,0.029,288,18,5942,4007,1935,18,11,0,166,105,15,24,9,0,15,25,8,17,1,36,556,445,0.59,0.4,0.59,0.39
DET,2022,9,0.067,0.049,442,18,6623,4444,2179,29,23,1,228,114,7,17,9,1,12,16,9,13,1,39,581,484,0.56,0.43,0.56,0.43
GB,2022,11,0.06,0.041,363,6,6003,3890,2113,27,14,2,186,116,12,21,8,0,17,22,9,14,1,34,551,456,0.56,0.42,0.52,0.47
HOU,2022,1,0.057,0.03,294,42,5118,3642,1476,20,9,1,159,90,19,25,10,0,16,27,10,14,1,39,560,399,0.61,0.38,0.49,0.49
IND,2022,-10,0.048,0.024,276,30,5721,3855,1866,17,8,2,193,91,20,32,15,0,10,24,10,15,0,44,584,440,0.6,0.39,0.54,0.45
JAX,2022,9,0.061,0.04,380,0,6264,4148,2116,25,16,4,208,114,9,21,13,0,14,20,13,17,0,35,587,449,0.58,0.41,0.58,0.41
KC,2022,5,0.067,0.056,482,0,7220,5250,1970,41,18,2,272,105,12,16,7,0,11,21,13,13,1,55,639,419,0.62,0.37,0.62,0.37
LA,2022,2,0.06,0.035,310,18,5167,3506,1661,16,16,1,181,89,15,17,9,1,16,14,5,10,0,38,516,411,0.59,0.4,0.56,0.42
LAC,2022,6,0.061,0.037,384,6,6315,4791,1524,26,15,1,232,93,10,24,11,0,14,16,7,13,1,40,701,404,0.65,0.33,0.54,0.45
LV,2022,-6,0.061,0.04,380,18,6239,4182,2057,28,12,3,193,122,17,16,4,0,6,15,7,9,0,27,569,429,0.59,0.4,0.57,0.41
MIA,2022,0,0.059,0.045,379,12,6451,4765,1686,30,13,2,220,93,15,16,6,2,8,20,6,13,1,40,569,390,0.61,0.37,0.61,0.37
MIN,2022,2,0.066,0.047,426,12,6479,4818,1661,30,20,1,244,93,15,19,10,0,15,19,8,12,0,38,657,404,0.64,0.35,0.58,0.41
NE,2022,6,0.056,0.033,318,12,5647,3815,1832,19,12,7,166,98,14,26,12,0,19,21,8,13,0,54,526,425,0.58,0.4,0.6,0.39
NO,2022,-8,0.055,0.037,328,24,5951,3969,1982,24,12,1,181,103,14,23,11,0,7,15,7,10,0,48,498,467,0.54,0.45,0.54,0.45
NYG,2022,12,0.059,0.037,353,0,5950,3431,2519,17,21,2,170,150,6,17,9,1,6,26,14,21,0,41,514,521,0.52,0.46,0.56,0.42
NYJ,2022,-3,0.052,0.029,298,0,5726,4040,1686,15,15,0,191,79,14,23,9,1,12,17,4,8,2,45,613,405,0.62,0.37,0.55,0.44
PHI,2022,13,0.068,0.053,468,18,6873,4364,2509,25,32,2,195,161,9,21,10,1,17,23,10,15,0,70,527,547,0.51,0.47,0.58,0.41
PIT,2022,12,0.053,0.026,303,6,5734,3661,2073,12,16,1,189,129,14,11,4,0,20,19,4,10,0,40,557,500,0.55,0.44,0.57,0.42
SEA,2022,9,0.063,0.043,397,12,6324,4282,2042,30,12,1,206,106,12,18,11,1,14,24,11,18,0,45,561,425,0.59,0.39,0.53,0.45
SF,2022,14,0.068,0.051,439,6,6409,4049,2360,30,21,3,188,132,9,19,10,2,20,16,8,13,0,44,503,504,0.52,0.47,0.62,0.37
TB,2022,2,0.051,0.027,307,0,6054,4746,1308,26,5,1,240,79,10,16,11,0,10,24,11,13,0,45,741,387,0.67,0.32,0.57,0.42
TEN,2022,7,0.055,0.035,294,12,5358,3227,2131,16,17,1,153,104,11,16,9,0,14,26,9,13,0,39,445,487,0.51,0.48,0.64,0.34
WAS,2022,-10,0.051,0.031,303,12,5926,3783,2143,24,9,3,184,124,16,24,10,1,9,12,6,7,1,43,538,538,0.53,0.46,0.56,0.43
ARI,2023,-4,0.056,0.034,327,18,5795,3430,2365,18,17,1,173,127,12,21,7,0,11,8,5,4,0,33,543,477,0.56,0.43,0.51,0.48
ATL,2023,-2,0.053,0.03,314,6,5934,3775,2159,17,14,1,181,121,17,24,11,2,8,24,8,18,1,42,513,523,0.52,0.47,0.54,0.44
BAL,2023,11,0.073,0.052,476,6,6542,3881,2661,27,27,1,180,144,7,28,15,3,18,19,10,15,1,60,487,542,0.5,0.49,0.63,0.36
BUF,2023,6,0.067,0.048,439,0,6518,4306,2212,29,23,2,199,158,18,17,9,0,18,22,13,15,0,54,561,512,0.54,0.44,0.59,0.39
CAR,2023,-8,0.044,0.02,223,30,5014,3245,1769,13,7,2,150,111,10,23,11,0,8,11,2,5,0,27,576,447,0.59,0.4,0.5,0.46
CHI,2023,9,0.062,0.035,358,24,5820,3421,2399,19,17,2,169,137,15,24,9,1,22,18,7,11,0,30,498,535,0.51,0.48,0.62,0.36
CIN,2023,12,0.061,0.04,355,6,5784,4257,1527,27,12,1,208,90,14,11,3,0,17,16,8,12,0,44,601,383,0.63,0.35,0.57,0.42
CLE,2023,-6,0.064,0.035,383,30,6028,4011,2017,24,15,3,173,121,23,26,14,2,18,20,10,13,0,49,601,525,0.56,0.43,0.58,0.4
DAL,2023,16,0.071,0.047,466,6,6580,4660,1920,36,14,6,229,113,10,12,5,0,17,20,10,14,1,46,604,470,0.58,0.4,0.54,0.44
DEN,2023,5,0.065,0.039,351,12,5376,3566,1810,28,9,1,154,116,9,27,14,1,11,26,14,17,1,42,504,455,0.55,0.43,0.56,0.42
DET,2023,5,0.066,0.052,456,18,6917,4606,2311,30,27,1,228,124,12,19,11,0,16,15,7,12,1,41,594,501,0.56,0.42,0.61,0.39
GB,2023,1,0.062,0.042,377,0,6115,4210,1905,32,11,2,211,101,11,18,6,0,7,18,12,11,0,45,570,443,0.58,0.41,0.53,0.45
HOU,2023,12,0.06,0.038,372,6,6215,4578,1637,27,12,1,215,84,8,17,8,1,14,19,8,14,0,46,584,446,0.58,0.41,0.57,0.43
IND,2023,13,0.061,0.035,365,6,5941,3882,2059,18,19,4,178,113,10,17,9,1,15,25,11,17,1,51,564,479,0.56,0.42,0.54,0.45
JAX,2023,-3,0.061,0.037,366,6,6023,4377,1646,22,17,2,199,98,14,26,17,0,16,18,10,12,0,40,606,455,0.59,0.39,0.61,0.37
KC,2023,-2,0.059,0.036,362,18,6166,4383,1783,28,9,2,216,107,17,17,9,1,8,26,11,16,0,57,618,418,0.61,0.36,0.58,0.4
LA,2023,1,0.065,0.044,413,6,6345,4300,2045,26,20,0,206,110,13,7,4,1,10,17,6,8,2,41,570,478,0.56,0.43,0.6,0.38
LAC,2023,1,0.058,0.033,343,18,5954,4312,1642,24,11,0,204,89,8,26,14,0,9,22,11,14,0,48,624,431,0.61,0.38,0.58,0.4
LV,2023,1,0.058,0.032,301,6,5208,3666,1542,20,11,5,182,83,18,14,7,0,13,17,8,13,1,46,539,415,0.59,0.39,0.56,0.42
MIA,2023,4,0.069,0.058,482,24,7006,4698,2308,30,28,4,223,113,15,23,11,0,15,19,11,15,0,56,551,456,0.57,0.42,0.59,0.39
MIN,2023,0,0.053,0.037,333,6,6253,4700,1553,30,7,2,220,79,19,25,15,1,11,25,11,23,0,43,612,393,0.63,0.36,0.59,0.39
NE,2023,-3,0.046,0.027,233,30,5019,3392,1627,16,10,1,153,93,21,17,9,1,10,26,7,17,1,36,536,416,0.59,0.4,0.56,0.41
NO,2023,9,0.065,0.038,386,12,5967,4225,1742,28,13,2,199,112,11,15,7,0,18,14,11,9,0,34,595,482,0.57,0.41,0.56,0.42
NYG,2023,19,0.048,0.027,250,12,5225,3351,1874,15,11,3,141,97,12,22,6,0,18,27,14,19,0,34,506,455,0.57,0.42,0.56,0.43
NYJ,2023,-1,0.049,0.019,246,12,5020,3373,1647,11,8,3,156,77,15,35,18,1,17,27,10,15,3,48,586,390,0.63,0.36,0.52,0.46
PHI,2023,-6,0.066,0.043,415,12,6257,4067,2190,24,22,3,197,149,16,25,13,0,9,19,8,14,1,43,547,511,0.54,0.45,0.63,0.37
PIT,2023,20,0.053,0.029,290,0,5431,3421,2010,13,16,2,153,115,9,21,6,0,16,24,12,19,1,47,497,488,0.53,0.45,0.57,0.41
SEA,2023,9,0.06,0.036,346,0,5747,4167,1580,23,11,3,189,93,12,8,3,0,11,17,10,13,0,47,563,382,0.61,0.37,0.55,0.44
SF,2023,14,0.069,0.061,484,6,6966,4577,2389,33,27,1,207,147,12,15,7,0,22,17,5,11,1,48,479,499,0.51,0.46,0.64,0.35
TB,2023,14,0.061,0.036,340,0,5553,4044,1509,28,8,1,188,79,10,20,8,1,13,27,13,19,1,48,558,439,0.58,0.4,0.61,0.38
TEN,2023,2,0.057,0.033,305,12,5358,3512,1846,14,17,1,158,103,11,18,6,0,6,18,10,13,0,45,483,444,0.55,0.43,0.56,0.43
WAS,2023,-14,0.058,0.04,334,30,5766,4174,1592,24,15,0,190,99,21,19,11,0,8,16,10,10,0,39,615,361,0.66,0.34,0.57,0.42
ARI,2024,5,0.064,0.043,403,6,6310,3859,2451,21,22,0,191,136,11,21,10,0,9,22,7,17,2,41,532,468,0.55,0.44,0.55,0.43
ATL,2024,-1,0.056,0.038,366,18,6502,4283,2219,21,18,3,198,133,19,23,6,1,12,16,5,12,1,31,540,497,0.54,0.44,0.57,0.41
BAL,2024,15,0.069,0.061,506,0,7373,4189,3184,41,22,2,199,164,4,17,7,2,12,18,5,14,0,54,473,555,0.47,0.51,0.64,0.35
BUF,2024,25,0.083,0.063,511,0,6168,3938,2230,30,33,3,181,140,6,11,3,0,16,28,15,18,1,39,514,491,0.52,0.46,0.58,0.41
CAR,2024,-6,0.066,0.043,348,6,5289,3411,1878,22,19,0,168,99,15,17,8,0,9,15,7,8,0,32,532,411,0.59,0.4,0.49,0.49
CHI,2024,11,0.055,0.033,292,0,5286,3552,1734,20,13,1,172,97,7,22,8,1,11,21,14,15,0,40,559,431,0.6,0.39,0.53,0.46
CIN,2024,7,0.071,0.054,461,18,6492,4918,1574,43,12,2,253,88,9,23,12,0,15,18,10,13,1,36,643,381,0.65,0.34,0.56,0.43
CLE,2024,-15,0.046,0.027,253,18,5487,3879,1608,19,9,1,180,93,23,18,9,0,4,18,10,13,1,41,638,391,0.65,0.34,0.53,0.44
DAL,2024,4,0.059,0.029,340,12,5797,4092,1705,23,8,1,192,98,14,27,14,0,13,22,9,19,0,52,623,429,0.61,0.38,0.54,0.44
DEN,2024,7,0.068,0.041,391,0,5716,3808,1908,30,12,5,172,124,12,15,8,0,15,18,9,12,2,63,558,461,0.56,0.42,0.61,0.38
DET,2024,13,0.077,0.063,553,6,7206,4718,2488,39,29,1,242,144,12,12,3,1,16,20,8,12,0,37,539,535,0.52,0.46,0.64,0.36
GB,2024,15,0.072,0.052,462,12,6435,3939,2496,28,24,1,171,142,11,16,9,0,17,28,13,18,0,45,468,528,0.49,0.5,0.59,0.4
HOU,2024,8,0.06,0.035,352,0,5861,3952,1909,20,15,3,197,89,12,15,8,1,19,20,9,9,1,49,558,436,0.59,0.4,0.57,0.42
IND,2024,5,0.063,0.04,373,12,5917,3599,2318,20,20,1,161,130,19,21,10,0,16,19,9,18,0,36,494,499,0.52,0.47,0.52,0.46
JAX,2024,-12,0.057,0.034,308,0,5446,3717,1729,19,13,1,174,106,15,18,9,1,6,9,3,6,0,34,531,414,0.58,0.41,0.55,0.43
KC,2024,12,0.065,0.039,379,0,5836,4046,1790,26,15,1,219,106,11,12,4,0,13,19,6,14,0,39,589,450,0.59,0.39,0.59,0.4
LA,2024,8,0.058,0.037,341,0,5861,4096,1765,22,15,3,192,119,9,13,6,0,13,14,6,10,1,38,550,451,0.57,0.42,0.55,0.44
LAC,2024,17,0.068,0.041,396,0,5783,3901,1882,23,17,1,176,110,3,15,5,1,15,15,7,10,0,46,507,465,0.54,0.43,0.59,0.4
LV,2024,-13,0.056,0.029,306,18,5474,4117,1357,19,10,1,209,78,16,20,13,1,10,13,3,6,0,38,619,382,0.64,0.35,0.56,0.41
MIA,2024,-2,0.06,0.033,347,12,5831,4036,1795,22,12,0,221,90,10,28,10,2,10,14,7,8,0,35,581,448,0.58,0.41,0.59,0.39
MIN,2024,14,0.067,0.044,415,6,6234,4379,1855,35,9,3,210,100,12,19,9,1,24,16,9,11,0,49,536,457,0.57,0.41,0.63,0.36
NE,2024,-4,0.055,0.031,291,12,5312,3343,1969,18,12,1,167,101,11,30,13,0,7,23,4,13,0,28,518,446,0.57,0.42,0.53,0.46
NO,2024,9,0.059,0.037,333,18,5684,3730,1954,21,15,1,167,111,12,14,5,0,14,15,5,12,1,39,539,444,0.57,0.42,0.56,0.42
NYG,2024,-3,0.052,0.03,278,30,5304,3521,1783,15,15,0,170,104,13,22,10,0,5,21,10,15,0,45,578,425,0.6,0.38,0.52,0.46
NYJ,2024,4,0.061,0.042,340,12,5577,4016,1561,31,9,0,201,83,11,17,7,1,7,25,11,15,0,43,596,366,0.64,0.35,0.53,0.46
PHI,2024,20,0.07,0.051,462,6,6565,3517,3048,24,30,1,168,164,6,20,8,0,13,29,14,21,0,41,442,626,0.44,0.54,0.58,0.41
PIT,2024,16,0.064,0.034,370,12,5773,3607,2166,21,14,1,158,122,6,31,14,0,17,22,13,19,0,40,493,533,0.51,0.48,0.6,0.39
SEA,2024,5,0.059,0.042,356,6,6006,4379,1627,21,19,4,211,88,16,21,6,2,13,21,7,14,1,45,577,383,0.63,0.36,0.57,0.41
SF,2024,-3,0.057,0.041,377,0,6587,4424,2163,23,17,1,204,120,16,25,10,0,11,20,7,12,0,37,517,458,0.55,0.44,0.54,0.45
TB,2024,-2,0.07,0.056,494,0,7041,4505,2536,41,17,1,224,137,16,26,9,0,7,25,9,16,1,46,555,483,0.56,0.43,0.63,0.36
TEN,2024,-10,0.059,0.036,324,30,5476,3621,1855,22,13,0,164,112,21,25,12,0,11,18,7,12,2,32,509,451,0.56,0.43,0.5,0.49
WAS,2024,10,0.073,0.052,479,0,6550,3932,2618,29,25,1,192,154,9,15,5,0,7,27,12,17,0,43,516,528,0.52,0.47,0.53,0.46
