team,week,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
CAR,2,2021,1,0.066,0.043,26,7,394,305,89,2,1,0,18,4,1,1,0,0,2,0,0,0,0,4,37,33,0.55,0.45,0.6,0.37
CAR,3,2021,0,0.057,0.045,24,9,421,304,117,0,3,0,15,10,0,3,0,0,0,1,0,0,0,4,34,33,0.53,0.43,0.63,0.35
CAR,4,2021,-2,0.068,0.066,28,36,414,301,113,2,2,0,13,9,2,0,0,0,0,1,0,0,0,0,37,24,0.65,0.35,0.41,0.55
CAR,5,2021,-1,0.056,0.016,16,21,286,177,109,1,0,0,9,6,3,0,0,0,1,2,1,1,1,2,34,30,0.57,0.43,0.65,0.32
CAR,6,2021,-2,0.068,0.032,22,40,325,207,118,1,1,0,8,8,1,3,2,0,0,3,1,2,0,0,40,23,0.67,0.32,0.56,0.43
CAR,7,2021,-1,0.015,0.000,3,23,201,145,56,0,0,0,8,3,1,1,0,1,0,0,0,0,0,2,38,17,0.73,0.27,0.54,0.42
CAR,8,2021,1,0.057,0.014,19,13,332,129,203,0,1,0,7,13,0,1,1,0,2,1,0,0,0,3,25,47,0.35,0.64,0.6,0.4
CAR,9,2021,-1,0.028,0.000,7,18,250,172,78,0,0,0,8,5,3,3,0,0,1,2,1,2,0,2,30,23,0.6,0.4,0.34,0.61
CAR,10,2021,0,0.100,0.043,34,10,341,175,166,1,2,0,10,13,1,2,1,0,1,2,1,1,0,4,32,37,0.46,0.52,0.62,0.38
CHI,1,2021,-2,0.040,0.031,14,34,350,216,134,0,2,0,13,10,1,1,1,0,0,0,0,0,0,1,39,26,0.62,0.38,0.54,0.38
CHI,2,2021,3,0.059,0.018,14,18,239,116,123,1,0,1,7,6,1,1,0,0,3,1,1,1,0,5,23,34,0.44,0.51,0.64,0.36
CHI,3,2021,0,0.053,0.000,6,26,114,68,46,0,0,0,2,2,0,0,0,0,0,1,0,0,0,5,20,13,0.69,0.31,0.45,0.51
CHI,4,2021,1,0.060,0.055,24,14,397,209,188,0,3,0,5,13,1,1,0,0,0,3,2,2,0,4,16,39,0.32,0.65,0.63,0.37
CHI,5,2021,1,0.076,0.034,20,9,262,119,143,1,1,0,8,7,0,1,0,0,1,0,0,0,0,3,21,37,0.37,0.62,0.64,0.36
CHI,6,2021,-1,0.045,0.038,14,24,314,174,140,1,1,0,10,10,1,1,0,0,0,0,0,0,0,3,26,26,0.54,0.46,0.46,0.47
CHI,7,2021,-4,0.009,0.000,3,38,327,184,143,0,0,0,11,6,3,4,2,0,0,1,1,1,0,0,29,29,0.55,0.45,0.56,0.44
CHI,8,2021,-1,0.063,0.032,22,33,351,175,176,1,1,0,10,9,1,3,0,0,0,0,0,0,0,0,26,36,0.46,0.54,0.51,0.42
CHI,9,2021,-3,0.052,0.037,22,29,427,291,136,1,1,0,11,7,1,2,2,0,0,0,0,0,0,4,28,26,0.55,0.45,0.5,0.47
CHI,11,2021,0,0.035,0.037,13,16,372,280,92,2,0,0,10,3,0,1,1,0,1,1,0,1,0,6,34,20,0.66,0.34,0.55,0.45
CIN,1,2021,1,0.066,0.048,27,24,410,261,149,2,1,0,12,7,0,0,0,0,0,1,1,1,0,3,27,36,0.46,0.53,0.69,0.29
CIN,2,2021,-3,0.065,0.043,18,14,276,207,69,2,0,0,10,2,3,1,1,0,1,1,0,1,0,3,27,20,0.64,0.36,0.44,0.51
CIN,3,2021,1,0.090,0.073,24,10,268,172,96,3,0,0,7,4,1,0,0,0,2,1,0,1,0,4,17,24,0.43,0.5,0.81,0.19
