team,season,week,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
IND,2021,3,3,0.057,0.018,16,25,281,194,87,0,1,0,8,7,0,0,0,0,2,2,1,2,0,1,37,18,0.68,0.32,0.42,0.55
IND,2021,4,1,0.074,0.046,27,17,367,228,139,2,1,0,9,9,0,1,1,0,0,3,2,1,0,3,32,33,0.51,0.45,0.67,0.33
IND,2021,5,0,0.048,0.049,25,31,525,402,123,2,1,0,16,10,0,1,1,0,0,1,1,1,0,2,35,26,0.59,0.41,0.64,0.36
IND,2021,6,3,0.078,0.087,31,3,397,223,174,2,2,0,8,7,0,0,0,0,2,1,1,1,0,2,20,26,0.46,0.52,0.61,0.39
JAX,2021,1,-3,0.051,0.047,21,37,408,332,76,3,0,0,13,5,3,1,0,0,0,1,0,0,0,1,48,16,0.76,0.22,0.45,0.53
JAX,2021,2,-2,0.067,0.043,13,23,193,118,75,1,1,0,6,3,2,0,0,0,0,0,0,0,0,3,31,16,0.69,0.31,0.55,0.42
JAX,2021,3,-3,0.037,0.033,14,31,378,219,159,1,1,0,10,9,2,5,2,0,1,0,0,0,0,0,32,29,0.55,0.44,0.53,0.47
JAX,2021,4,0,0.061,0.056,21,24,343,204,139,0,3,0,8,12,0,1,0,0,0,0,0,0,0,1,24,30,0.45,0.55,0.6,0.4
JAX,2021,5,-2,0.042,0.048,20,31,471,273,198,1,2,0,12,9,1,1,1,0,0,0,0,0,0,3,32,31,0.54,0.46,0.41,0.59
JAX,2021,6,0,0.057,0.033,23,20,403,319,84,1,1,0,16,4,0,1,1,0,1,1,0,1,0,0,41,19,0.69,0.31,0.69,0.29
KC,2021,1,2,0.08,0.068,33,29,410,337,73,3,1,0,17,4,0,0,0,0,1,2,1,1,0,2,36,23,0.63,0.34,0.53,0.47
KC,2021,2,0,0.072,0.083,29,37,405,343,62,3,1,1,18,2,1,2,1,0,2,1,0,1,0,1,30,18,0.63,0.37,0.4,0.57
KC,2021,3,-4,0.054,0.042,24,30,446,260,186,3,0,0,17,12,2,2,2,0,0,1,0,1,0,1,42,30,0.61,0.39,0.65,0.34
KC,2021,4,-1,0.088,0.098,42,30,478,278,200,5,1,0,16,12,1,1,0,0,0,2,0,2,0,3,29,32,0.49,0.49,0.73,0.27
KC,2021,5,-4,0.054,0.027,21,32,392,272,120,2,0,0,16,8,2,2,2,0,0,0,0,0,0,0,52,23,0.71,0.29,0.48,0.46
KC,2021,6,-1,0.061,0.055,31,13,506,397,109,2,2,0,21,7,2,2,1,0,1,1,1,1,0,0,45,28,0.64,0.36,0.67,0.33
LA,2021,1,2,0.086,0.082,34,14,395,321,74,3,1,0,13,4,0,0,0,0,1,1,1,1,0,3,26,23,0.54,0.38,0.62,0.38
LA,2021,2,0,0.074,0.052,28,18,379,278,101,2,1,0,15,6,1,1,1,0,2,0,0,0,0,3,29,29,0.52,0.48,0.61,0.39
LA,2021,3,0,0.081,0.065,34,24,419,343,76,4,0,0,16,5,0,1,0,0,0,2,0,2,0,3,38,24,0.62,0.35,0.82,0.18
LA,2021,4,-2,0.05,0.032,20,37,401,280,121,2,0,0,13,8,1,1,1,0,0,1,0,1,0,3,40,23,0.64,0.34,0.47,0.51
LA,2021,5,1,0.054,0.046,26,17,483,365,118,1,2,0,16,8,1,1,0,0,2,0,0,0,0,2,36,29,0.57,0.42,0.58,0.42
LA,2021,6,2,0.099,0.081,38,11,382,251,131,4,1,0,15,6,2,1,0,0,3,2,1,2,0,4,28,34,0.48,0.5,0.76,0.24
